REGISTRATION,OPERATOR,TYPE,POPULAR NAME,OPERATION TYPE,EGOW FLIGHT TYPE,CAA FLIGHT TYPE,JET/PROP,CAA OPR,CAA OPR PFX,CAA LESSOR PREFIX,CAA FLIGHT,FIXED C/S,SEATS,WARNINGS,NOTES,ICAO 24,ICAO ACFT CLASS,OWNER,COUNTRY
G-KITI,,PTS2,,,,,,,,,,,,,,4031D3,L1P,PRIVATE,UNITED KINGDOM
G-KITO,,PA24,,,,,,,,,,,,,,407425,L1P,,UNITED KINGDOM
G-KITS,,EUPA,,,,,,,,,,,,,,400D66,L1P,PRIVATE,UNITED KINGDOM
G-KITT,,P40,,,,,,,,,,,,,,403920,L1P,HANGAR 11 COLLECTION,UNITED KINGDOM
G-KIZZ,,UNDEFINED,,,,,,,,,,,,,,404C14,,,UNITED KINGDOM
G-KJAS,,A332,,,,,,,,,,,,,,407D7F,L2J,,UNITED KINGDOM
G-KJBS,,CRUZ,,,,,,,,,,,,,,4061AC,L1P,PRIVATE,UNITED KINGDOM
G-KJJR,,VENT,,,,,,,,,,,,,,40687E,L1P,PRIVATE,UNITED KINGDOM
G-KJTT,,C182,,,,,,,,,,,,,,40719B,L1P,PRIVATE,UNITED KINGDOM
G-KKAM,,AS22,,,,,,,,,,,,,,405D02,L1P,PRIVATE,UNITED KINGDOM
G-KKCT,,FDCT,,,,,,,,,,,,,,4077D9,L1P,,UNITED KINGDOM
G-KKER,,ULAC,,,,,,,,,,,,,,40425E,,,UNITED KINGDOM
G-KKEV,,DH8D,,,,,,,BEE,,,JERSEY,,,,405858,L2T,FLYBE,UNITED KINGDOM
G-KKKK,,BDOG,,,,,,,,,,,,,,404630,L1P,PRIVATE,UNITED KINGDOM
G-KKRV,,RV7,,,,,,,,,,,,,,40819B,,,UNITED KINGDOM
G-KKTG,,C182,,,,,,,,,,,,,,407237,L1P,PRIVATE,UNITED KINGDOM
G-KLAW,,,,,,,,,,,,,,,,4061A4,L1P,,UNITED KINGDOM
G-KLCK,,AS50,,,,,,,,,,,,,,40820A,,,UNITED KINGDOM
G-KLLY,,AS50,,,,,,,,,,,,,,407907,H1T,,UNITED KINGDOM
G-KLNA,,A109,,,,,,,,,,,,,,407EAC,H2T,,UNITED KINGDOM
G-KLNE,,H25B,,,,,,,,,,,,,,406600000,L2J,SAXONAIR CHARTER LTD,UNITED KINGDOM
G-KLNH,,A109,,,,,,,,,,,,,,407133,H2T,SAXONAIR CHARTER LTD,UNITED KINGDOM
G-KLNP,,EC20,,,,,,,,,,,,,,4061C4,H1T,SAXONAIR CHARTER LTD,UNITED KINGDOM
G-KLNR,,BE40,,,,,,,,,,,,,,405EDA,L2J,SAXONAIR CHARTER LTD,UNITED KINGDOM
G-KLNW,,C510,,,,,,,,,,,,,,405EA2,L2J,SAXONAIR CHARTER LTD,UNITED KINGDOM
G-KLTB,,BALL,,,,,,,,,,,,,,407087,,PRIVATE,UNITED KINGDOM
G-KLUB,,SF25,,,,,,,,,,,,,,40774C,L1P,,UNITED KINGDOM
G-KLYE,,SKRA,,,,,,,,,,,,,,405C01,L1P,PRIVATE,UNITED KINGDOM
G-KMAK,,ULAC,,,,,,,,,,,,,,4.06E+76,,PRIVATE,UNITED KINGDOM
G-KMBB,,SF25,,,,,,,,,,,,,,40681F,L1P,,UNITED KINGDOM
G-KMFW,,DG80,,,,,,,,,,,,,,406535,L1P,PRIVATE,UNITED KINGDOM
G-KMIR,,AS31,,,,,,,,,,,,,,406FC5,L1P,PRIVATE,UNITED KINGDOM
G-KMJK,,DG80,,,,,,,,,,,,,,4070C4,L1P,PRIVATE,UNITED KINGDOM
G-KMKM,,MT,,,,,,,,,,,,,,4065FC,G1P,TIMOTHY BROOKING,UNITED KINGDOM
G-KMLA,,SR20,,,,,,,,,,,,,,4073000000000,L1P,,UNITED KINGDOM
G-KMOS,,R44,,,,,,,,,,,,,,40770,H1P,,UNITED KINGDOM
G-KMRV,,RV9,,,,,,,,,,,,,,404CFA,L1P,PRIVATE,UNITED KINGDOM
G-KMTE,,SR22,,,,,,,,,,,,,,407E0B,L1P,,UNITED KINGDOM
G-KNCG,,PA32,,,,,,,,,,,,,,405836,L1P,PRIVATE,UNITED KINGDOM
G-KNEE,,BALL,,,,,,,,,,,,,,404961,,PRIVATE,UNITED KINGDOM
G-KNEK,,G109,,,,,,,,,,,,,,404398,L1P,PRIVATE,UNITED KINGDOM
G-KNIB,,R22,,,,,,,,,,,,,,40444A,H1P,COLIN GERALD KNIBB,UNITED KINGDOM
G-KNOW,,PA32,,,,,,,,,,,,,,402C8C,L1P,PRIVATE,UNITED KINGDOM
G-KNSL,,EC35,,,,,,,,,,,,,,406275,H2T,,UNITED KINGDOM
G-KNYS,,C208,,,,,,,,,,,,,,4074A7,L1T,,UNITED KINGDOM
G-KNYT,,R44,,,,,,,,,,,,,,4042B2,H1P,PAUL HARRISON,UNITED KINGDOM
G-KOBH,,DISC,,,,,,,,,,,,,,4050FA,L1P,PRIVATE,UNITED KINGDOM
G-KOCO,,SR22,,,,,,,,,,,,,,4060F8,L1P,PRIVATE,UNITED KINGDOM
G-KOFM,,GLID,,,,,,,,,,,,,,404100000000,,,UNITED KINGDOM
